student_id,slot_0,slot_1,slot_2,dept,score
S00145,社会福祉法人 南湖会【障がい児者支援事業】,公益財団法人　総合病院　浅香山病院,,社会福祉科,5
S00146,,医療法人 正正会 分野病院,公益財団法人　総合病院　浅香山病院,社会福祉科,5
S00147,,,一般社団法人 水口病院,社会福祉科,3
S00148,,,"株式会社 ミック・ジャパン
【ミック健康の森】　【ドラッグミック】　【ローソンドラッグミック】",社会福祉科,0
S00149,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉法人 ヒューマンライツ福祉協会,,社会福祉科,5
S00150,,,医療法人社団 創生会,社会福祉科,3
S00151,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 ヒューマンライツ福祉協会,,社会福祉科,5
S00152,社会医療法人寿栄会 ありまこうげんホスピタル,株式会社　絆ホールディングス,,社会福祉科,5
S00153,,,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉科,2
S00154,,,株式会社　絆ホールディングス,社会福祉科,2
S00155,,"児童発達支援・放課後等デイサービスＬＵＭＯ
（株式会社 Ｇｏｔｏｓｃｈｏｏｌグループ募集）",医療法人社団 創生会,社会福祉科,3
S00156,,,社会福祉法人 聖徳会,社会福祉科,2
S00157,,,社会福祉法人 大阪自彊館,社会福祉科,3
S00158,,,社会福祉法人 天心会　小阪病院,社会福祉科,3
S00159,医療法人 正正会 分野病院,社会福祉法人　京都府社会福祉事業団,,社会福祉科,5
S00160,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,一般社団法人 水口病院,,社会福祉科,5
S00161,,社会福祉法人　京都府社会福祉事業団,株式会社 シーアイ・パートナーズグループ,社会福祉科,4
S00162,社会福祉法人　京都府社会福祉事業団,社会医療法人寿栄会 ありまこうげんホスピタル,,社会福祉科,5
S00163,社会福祉法人 ヒューマンライツ福祉協会,社会福祉法人 南湖会【障がい児者支援事業】,,社会福祉科,5
S00164,,医療法人社団 創生会,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,5
S00165,株式会社　絆ホールディングス,公益財団法人　総合病院　浅香山病院,,社会福祉科,5
S00166,医療法人社団 創生会,,,社会福祉科,3
S00167,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
S00168,,,株式会社　絆ホールディングス,社会福祉科,3
S00169,一般社団法人 水口病院,医療法人 正正会 分野病院,,社会福祉科,5
S00170,社会福祉法人 大阪自彊館,,,社会福祉科,3
S00171,,社会福祉法人 産経新聞厚生文化事業団,社会福祉法人 天心会　小阪病院,社会福祉科,5
S00172,社会福祉法人　京都府社会福祉事業団,株式会社 シーアイ・パートナーズグループ,,社会福祉科,5
S00173,医療法人社団 創生会,,,社会福祉科,3
S00174,社会福祉法人 産経新聞厚生文化事業団,,,社会福祉科,3
S00175,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00176,社会福祉法人　京都府社会福祉事業団,社会医療法人寿栄会 ありまこうげんホスピタル,,社会福祉科,5
S00177,社会福祉法人 天心会　小阪病院,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00178,,,社会福祉法人 大阪自彊館,社会福祉科,3
S00179,社会福祉法人 ヒューマンライツ福祉協会,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00180,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
S00181,,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,3
S00182,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
S00183,,社会福祉法人 聖徳会,社会福祉法人 産経新聞厚生文化事業団,社会福祉科,5
S00184,,社会福祉法人 産経新聞厚生文化事業団,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,5
S00185,,,株式会社　絆ホールディングス,社会福祉科,3
S00186,株式会社 Ｔ’Ｓコーポレーショングループ,,,社会福祉科,3
S00187,,,社会福祉法人 天心会　小阪病院,社会福祉科,2
S00188,,,公益財団法人　総合病院　浅香山病院,社会福祉科,3
S00189,一般社団法人 水口病院,,,社会福祉科,3
S00190,医療法人 正正会 分野病院,,,社会福祉科,3
S00191,株式会社スバコ・ケア・エンジニアリング,株式会社　絆ホールディングス,,社会福祉科,5
S00192,,,社会福祉法人 天心会　小阪病院,社会福祉科,3
S00193,,社会福祉法人 天心会　小阪病院,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,5
S00194,,,社会福祉法人 天心会　小阪病院,社会福祉科,3
S00195,,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,2
S00196,,社会福祉法人 産経新聞厚生文化事業団,一般社団法人 水口病院,社会福祉科,5
S00197,,,株式会社　絆ホールディングス,社会福祉科,2
S00198,,社会福祉法人 産経新聞厚生文化事業団,株式会社スバコ・ケア・エンジニアリング,社会福祉科,5
S00199,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 産経新聞厚生文化事業団,,社会福祉科,5
S00200,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00201,,社会福祉法人 聖徳会,社会福祉法人　京都府社会福祉事業団,社会福祉科,5
S00202,,,公益財団法人　総合病院　浅香山病院,社会福祉科,3
S00203,社会福祉法人 南湖会【障がい児者支援事業】,公益財団法人　総合病院　浅香山病院,,社会福祉科,5
S00204,株式会社 Ｔ’Ｓコーポレーショングループ,,,社会福祉科,3
S00205,,社会福祉法人 聖徳会,社会福祉法人 大阪自彊館,社会福祉科,5
S00206,,,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,2
S00207,,,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,3
S00208,,社会福祉法人 産経新聞厚生文化事業団,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,5
S00209,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
S00210,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,,社会福祉科,3
S00211,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉法人 天心会　小阪病院,,社会福祉科,5
S00212,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,医療法人社団 創生会,,社会福祉科,5
S00213,,,社会福祉法人　京都府社会福祉事業団,社会福祉科,2
S00214,社会福祉法人　京都府社会福祉事業団,医療法人 正正会 分野病院,,社会福祉科,5
S00215,"児童発達支援・放課後等デイサービスＬＵＭＯ
（株式会社 Ｇｏｔｏｓｃｈｏｏｌグループ募集）",医療法人 正正会 分野病院,,社会福祉科,2
S00216,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00217,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,一般社団法人 水口病院,,社会福祉科,5
S00218,公益財団法人　総合病院　浅香山病院,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00219,社会福祉法人 聖徳会,,,社会福祉科,3
S00220,社会福祉法人 聖徳会,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00221,,株式会社 シーアイ・パートナーズグループ,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,5
S00222,,,社会福祉法人 産経新聞厚生文化事業団,社会福祉科,3
S00223,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,医療法人社団 創生会,,社会福祉科,5
S00224,,,社会福祉法人 聖徳会,社会福祉科,3
S00225,社会福祉法人 産経新聞厚生文化事業団,医療法人 正正会 分野病院,,社会福祉科,5
S00226,,公益財団法人　総合病院　浅香山病院,医療法人社団 創生会,社会福祉科,5
S00227,株式会社 シーアイ・パートナーズグループ,医療法人 正正会 分野病院,,社会福祉科,5
S00228,株式会社　絆ホールディングス,,,社会福祉科,3
S00229,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00230,医療法人社団 創生会,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,社会福祉科,5
S00231,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00232,,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,医療法人 正正会 分野病院,社会福祉科,5
S00233,,,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉科,3
S00234,,社会福祉法人 天心会　小阪病院,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,5
S00235,社会福祉法人 産経新聞厚生文化事業団,株式会社 シーアイ・パートナーズグループ,,社会福祉科,5
S00236,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉科,5
S00237,一般社団法人 水口病院,社会福祉法人 聖徳会,,社会福祉科,5
S00238,,,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉科,3
S00239,社会福祉法人 天心会　小阪病院,一般社団法人 水口病院,,社会福祉科,5
S00240,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
S00241,,,社会福祉法人 大阪自彊館,社会福祉科,3
S00242,株式会社　絆ホールディングス,,,社会福祉科,3
S00243,,社会福祉法人 産経新聞厚生文化事業団,社会福祉法人 大阪自彊館,社会福祉科,5
S00244,株式会社　絆ホールディングス,社会福祉法人 大阪自彊館,,社会福祉科,5
S00245,社会福祉法人 天心会　小阪病院,株式会社 シーアイ・パートナーズグループ,,社会福祉科,5
S00246,社会福祉法人 南湖会【障がい児者支援事業】,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00247,社会福祉法人　京都府社会福祉事業団,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00248,,社会福祉法人 ヒューマンライツ福祉協会,医療法人 正正会 分野病院,社会福祉科,5
S00249,社会福祉法人 大阪自彊館,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,4
S00250,,,社会福祉法人 聖徳会,社会福祉科,3
S00251,,社会福祉法人 天心会　小阪病院,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,5
S00252,,,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,3
S00253,,社会福祉法人 大阪自彊館,一般社団法人 水口病院,社会福祉科,5
S00254,社会福祉法人 大阪自彊館,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00255,株式会社 シーアイ・パートナーズグループ,公益財団法人　総合病院　浅香山病院,,社会福祉科,5
S00256,公益財団法人　総合病院　浅香山病院,,,社会福祉科,3
S00257,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,公益財団法人　総合病院　浅香山病院,,社会福祉科,5
S00258,,,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,3
S00259,,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,2
S00260,,,一般社団法人 水口病院,社会福祉科,3
S00261,,,一般社団法人 水口病院,社会福祉科,3
S00262,公益財団法人　総合病院　浅香山病院,,,社会福祉科,3
S00263,株式会社 シーアイ・パートナーズグループ,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00264,社会福祉法人 天心会　小阪病院,社会福祉法人 大阪自彊館,,社会福祉科,5
S00265,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,医療法人 正正会 分野病院,,社会福祉科,5
S00266,社会福祉法人 産経新聞厚生文化事業団,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00267,株式会社　絆ホールディングス,社会福祉法人 ヒューマンライツ福祉協会,,社会福祉科,5
S00268,,,社会福祉法人 聖徳会,社会福祉科,3
S00269,社会福祉法人　京都府社会福祉事業団,,,社会福祉科,3
S00270,,,社会福祉法人 大阪自彊館,社会福祉科,3
S00271,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00272,,社会福祉法人 大阪自彊館,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,5
S00273,,,公益財団法人　総合病院　浅香山病院,社会福祉科,2
S00274,,,株式会社　絆ホールディングス,社会福祉科,3
S00275,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,医療法人 正正会 分野病院,,社会福祉科,5
S00276,,,株式会社 シーアイ・パートナーズグループ,社会福祉科,3
S00277,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,一般社団法人 水口病院,,社会福祉科,5
S00278,社会福祉法人 南湖会【障がい児者支援事業】,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00279,,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,3
S00280,社会福祉法人　京都府社会福祉事業団,医療法人 正正会 分野病院,,社会福祉科,5
S00281,,一般社団法人 水口病院,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉科,5
S00282,社会福祉法人 大阪自彊館,社会福祉法人　京都府社会福祉事業団,,社会福祉科,5
S00283,,,社会福祉法人　京都府社会福祉事業団,社会福祉科,3
S00284,,,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉科,3
S00285,,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,5
S00286,株式会社 シーアイ・パートナーズグループ,社会福祉法人 南湖会【障がい児者支援事業】,,社会福祉科,5
S00287,社会福祉法人 聖徳会,社会医療法人寿栄会 ありまこうげんホスピタル,,社会福祉科,5
S00288,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,,社会福祉科,3
S00289,株式会社　絆ホールディングス,,,社会福祉科,3
S00290,,社会福祉法人 聖徳会,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,5
S00291,,,社会福祉法人 聖徳会,社会福祉科,3
S00292,医療法人社団 創生会,,,社会福祉科,3
S00293,株式会社 シーアイ・パートナーズグループ,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00294,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00295,医療法人社団 創生会,,,社会福祉科,3
S00296,,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 聖徳会,社会福祉科,5
S00297,,,社会福祉法人 天心会　小阪病院,社会福祉科,1
S00298,,社会福祉法人 大阪自彊館,株式会社スバコ・ケア・エンジニアリング,社会福祉科,5
S00299,,,社会福祉法人 産経新聞厚生文化事業団,社会福祉科,3
S00300,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
